Method,N_Train,F1,F1_CI95,Precision,Recall,F1_mean,P_mean,R_mean
No Augmentation,285,73.22% +/- 0.013,+/-0.012,71.99% +/- 0.016,74.51% +/- 0.016,73.2183,71.9911,74.5073
iBUS Only,285,73.92% +/- 0.013,+/-0.011,72.88% +/- 0.013,74.99% +/- 0.014,73.9197,72.8844,74.9895
COSINER Only,1040,74.60% +/- 0.017,+/-0.015,72.02% +/- 0.022,77.44% +/- 0.029,74.5969,72.0229,77.4423
iBUS+COSINER,1040,73.72% +/- 0.019,+/-0.016,70.14% +/- 0.018,77.69% +/- 0.020,73.7228,70.1394,77.6939
COSINER+iBUS,1040,74.93% +/- 0.005,+/-0.005,71.53% +/- 0.016,78.76% +/- 0.025,74.9312,71.5327,78.7631
ADAMER Only,558,75.99% +/- 0.004,+/-0.003,73.06% +/- 0.011,79.18% +/- 0.009,75.9904,73.0636,79.1824
ADAMER+iBUS,558,75.98% +/- 0.013,+/-0.011,72.83% +/- 0.010,79.41% +/- 0.017,75.9765,72.829,79.413
iBUS+ADAMER,517,77.34% +/- 0.010,+/-0.009,75.04% +/- 0.011,79.79% +/- 0.010,77.3426,75.0433,79.7904
