Method,N_Train,F1,F1_CI95,Precision,Recall,F1_mean,P_mean,R_mean
No Augmentation,107,65.20% +/- 0.013,+/-0.011,64.61% +/- 0.023,65.87% +/- 0.021,65.1965,64.6122,65.87
iBUS Only,107,65.68% +/- 0.012,+/-0.011,64.02% +/- 0.017,67.46% +/- 0.017,65.6813,64.0221,67.4633
COSINER Only,367,65.95% +/- 0.014,+/-0.013,63.00% +/- 0.021,69.22% +/- 0.014,65.9507,63.0021,69.2243
iBUS+COSINER,367,66.06% +/- 0.017,+/-0.015,62.27% +/- 0.023,70.40% +/- 0.020,66.0588,62.2661,70.3983
COSINER+iBUS,367,65.32% +/- 0.024,+/-0.021,61.59% +/- 0.029,69.56% +/- 0.020,65.3169,61.5871,69.5597
ADAMER Only,211,66.04% +/- 0.025,+/-0.022,64.33% +/- 0.030,67.90% +/- 0.027,66.0439,64.3274,67.9036
ADAMER+iBUS,211,66.28% +/- 0.012,+/-0.011,63.17% +/- 0.023,69.79% +/- 0.014,66.2843,63.1672,69.7904
iBUS+ADAMER,211,66.85% +/- 0.014,+/-0.012,65.00% +/- 0.023,68.85% +/- 0.016,66.8462,65.0026,68.847
