Rs,n_sentences,n_tokens,n_pos_tokens,mean_ir,val_f1,test_f1,test_p,test_r,best_epoch,time_sec
15,107,2438,186,8.6,0.6499,0.6537,0.6222,0.6887,3,227.9
25,107,2538,186,10.46,0.6411,0.668,0.6422,0.696,3,228.0
40,107,2619,186,12.02,0.6389,0.6587,0.6294,0.6908,3,227.4
30,107,2569,186,11.06,0.6258,0.6277,0.6429,0.6132,5,227.7
10,107,2313,186,6.73,0.6222,0.6381,0.6219,0.6551,3,228.0
20,107,2498,186,9.69,0.614,0.6288,0.6429,0.6153,5,228.3
35,107,2599,186,11.63,0.6139,0.6328,0.6456,0.6205,5,227.8
5,107,2110,186,4.18,0.6074,0.6496,0.6492,0.6499,3,219.6
