Method,N_Train,F1,F1_CI95,Precision,Recall,F1_mean,P_mean,R_mean
No Augmentation,539,78.74% +/- 0.019,+/-0.016,76.48% +/- 0.025,81.15% +/- 0.018,78.7357,76.484,81.153
iBUS Only,539,79.75% +/- 0.010,+/-0.008,77.06% +/- 0.015,82.64% +/- 0.007,79.7461,77.0557,82.6415
COSINER Only,1969,78.96% +/- 0.005,+/-0.005,75.24% +/- 0.008,83.08% +/- 0.008,78.9604,75.2358,83.0818
iBUS+COSINER,1969,78.85% +/- 0.003,+/-0.002,74.74% +/- 0.012,83.48% +/- 0.015,78.8511,74.7395,83.4801
COSINER+iBUS,1969,78.52% +/- 0.008,+/-0.007,74.94% +/- 0.010,82.47% +/- 0.011,78.523,74.9409,82.4738
ADAMER Only,1054,79.21% +/- 0.007,+/-0.007,77.42% +/- 0.012,81.09% +/- 0.005,79.2087,77.4178,81.0901
ADAMER+iBUS,1054,78.81% +/- 0.005,+/-0.005,76.77% +/- 0.012,80.99% +/- 0.008,78.8149,76.7722,80.9853
iBUS+ADAMER,892,80.07% +/- 0.005,+/-0.004,76.64% +/- 0.002,83.84% +/- 0.009,80.0743,76.6384,83.8365
